Id,name,cleaned
0bb48eb3,짱오락실 종로점,서울 종로구 종로14길 5
198c7df8,캑티 가챠샵 종로점,서울 종로구 종로12길 9
c1b5a099,인형뽑기,서울 종로구 종로 86
4fb17e1e,캐칭덕,서울특별시 동작구 국사봉길 4
580ad1d1,캐칭덕 경복궁역점,서울특별시 종로구 자하문로 17
707f4549,캐칭덕 홍대본점,서울특별시 마포구 어울마당로 74 금광빌딩
0eb52abe,캐칭덕,경상북도 안동시 광명로 171-3
5d58f678,캐칭덕 구리돌다리점,경기도 구리시 검배로6번길 19 
e6b2226b,캐칭덕 부평점,인천광역시 부평구 부평문화로80번길 16 
a89518ff,캐칭덕 용인죽전점,경기도 용인시 기흥구 죽전로15번길 7-3 상가
5fdd5bfc,캐칭덕 오산시청점,경기도 오산시 성호대로 130 
7653ce13,캐칭덕 화명점,부산광역시 북구 화명신도시로 130 
c52a5952,모모스테이션,경기도 안산시 단원구 예술대학로 11 해남빌딩
c984a1eb,모모스테이션 홍대직영점,서울특별시 마포구 어울마당로 76-1 석영빌딩
cd74bec1,모모스테이션 건대점,서울특별시 광진구 동일로22길 92
9a964bb0,모모스테이션 영종하늘도시점,인천광역시 중구 하늘중앙로 193 조양타워
03eb8c31,모모스테이션 강원동해점,강원특별자치도 동해시 청운1길 55 104호
3b4d3e3f,모모스테이션 대전은행점,대전광역시 중구 대종로480번길 38
39ffd4ef,모모스테이션 울산삼산점,울산광역시 남구 삼산중로74번길 15 
acd16998,모모게임즈,경기도 화성시 동탄대로시범길 134 카림애비뉴 
c8379631,블링팝,서울특별시 영등포구 당산로 134 
5c01a95c,블링팝,서울특별시 양천구 신정중앙로 95
9e718eb2,블링팝,서울특별시 강서구 등촌로5길 2 
e7ffdb3e,블링팝,서울특별시 양천구 목동동로 53 
888515b6,블링팝 서교점,서울특별시 마포구 독막로9길 4 1층 
067963a7,블링팝 동덕여대점,서울특별시 성북구 하월곡동 화랑로13길 10
c7b9f410,블링팝 신림점,서울특별시 관악구 신림동길 8 
fc1a451b,블링팝 발산점,서울특별시 강서구 마곡중앙8로 90 110호
9d1f4d4c,블링팝 우장산역점,서울특별시 강서구 내발산동 강서로 261
6a8c5e9a,블링팝 신정네거리점,서울특별시 양천구 중앙로 269
6eb1780d,블링팝 고척점,서울특별시 구로구 고척동 72-107
fefe45ab,블링팝 역곡점,경기도 부천시 원미구 역곡로13번길 7 
c2639c5b,블링팝 시흥점,경기도 시흥시 능곡번영길 26
80b4cd7d,블링팝 청주동남점,충청북도 청주시 상당구 중고개로141번길 11-1 
dd2c916e,럭키캐치,서울특별시 강서구 화곡로 318-1
17dbd63f,럭키캐치 중앙대점,서울특별시 동작구 흑석로 109-2 
3b12e8ff,럭키캐치,부산광역시 해운대구 센텀북대로 60 
af09d32e,앨리스인원더랜드,서울특별시 광진구 아차산로 221
ebb75be2,앨리스인원더랜드,서울특별시 서초구 서초대로77길 48
71c8ed29,앨리스인원더랜드,서울특별시 영등포구 영중로4길 9 
a49c243d,앨리스인원더랜드,경기도 군포시 산본천로226번길 27
6a5ef331,앨리스인원더랜드,인천광역시 부평구 부평대로20번길 18-1
8e4fb33f,앨리스인원더랜드,서울특별시 송파구 올림픽로 265
18a76926,앨리스인원더랜드,경기도 용인시 처인구 김량장동 금령로85번길 1
aed0a7b3,앨리스인원더랜드,서울특별시 강서구 강서로 385 우성에스비타워 119호
b3ec5c0a,러키비키,경상북도 포항시 북구 삼호로 204 1층
62eb6df3,러키비키 마곡점,서울특별시 강서구 마곡중앙로 161-11 A동
d3fe3554,러키비키 광명하안점,경기도 광명시 하안로287번길 22 
a34360a3,러키비키 일산가로수길점,경기도 고양시 일산서구 주엽로 80 D동
8ca5692f,러키비키 소새울역점,경기도 부천시 소사구 소사로 119 
85e300d8,짱오락실 종로점,서울특별시 종로구 종로14길 5
4799139b,짱오락실 성신여대점,서울특별시 성북구 동소문로20나길 17
9328b51e,짱오락실 홍대점,서울특별시 마포구 어울마당로 69
72b816f9,짱오락실 상암동 메가박스점,서울특별시 마포구 성산동 515-3
2bea7835,짱오락실 강남2호점,서울특별시 강남구 강남대로 442 
db7bdbc3,짱오락실 강남대로점,서울특별시 강남구 강남대로 428 
a0679daf,짱오락실 서울대입구점,서울특별시 관악구 관악로15길 6 
54074981,짱오락실 신림점,서울특별시 관악구 신림로59길 12
0c5e2572,짱오락실 구리돌다리점,경기도 구리시 검배로6번길 7
4940e8a1,짱오락실 하남미사점,경기도 하남시 미사강변중앙로 180
ce42a66c,짱오락실 부천점,경기도 부천시 원미구 부일로 460 2층
094557d3,짱오락실 부평점,인천광역시 부평구 부평문화로80번길 27
33ec0262,짱오락실 인천앨리웨이도화점,인천광역시 미추홀구 숙골로88번길 12 
202759f1,짱오락실 안산고잔점,경기도 안산시 단원구 광덕2로 185 
ebb45234,짱오락실 수원역점,경기도 수원시 팔달구 향교로 13-1
b88a5e14,짱오락실 에버랜드점,경기도 용인시 처인구 포곡읍 에버랜드로 199
43031118,짱오락실 동탄타임테라스점,경기도 화성시 동탄중앙로 220 
231f0a53,짱오락실 동탄타임테라스2호점,경기도 화성시 동탄중앙로 200 동탄점 B동 
8c7486c6,짱오락실 이천점,경기도 이천시 어재연로37번길 16
2a5d8c03,영종짱랜드,인천광역시 중구 공항문화로 127 인스파이어 리조트 
8595ca1e,짱오락실 영종도인스파이어점,인천광역시 중구 용유로 700 1층 
52181b3a,짱오락실 천안신부점,충청남도 천안시 동남구 먹거리11길 37 
b1989a41,짱오락실 청주점,충청북도 청주시 상당구 성안로 13
1f42714f,짱오락실,대전광역시 유성구 문화원로 89
9fb2b3e6,짱오락실 대전둔산점,"대전광역시 서구 둔지로 14 102호, 2층"
bfec6889,짱오락실 대전점,대전광역시 중구 대종로480번길 26
f7ba2e1b,짱오락실 대구동성로점,대구광역시 중구 동성로6길 36
e80288f5,짱오락실 대구태왕스파크점,대구광역시 중구 동성로6길 61 7층
35dcf3c7,짱오락실 광주첨단점,광주광역시 광산구 첨단강변로99번길 66
df5f2a30,짱오락실 울산성남점,울산광역시 중구 젊음의거리 48
2eca5963,짱오락실 울산점,울산광역시 남구 달삼로75번길 13
4cdfe4c2,짱오락실 부산삼정타워점,부산광역시 부산진구 중앙대로 672
33ee5f3c,짱오락실 부산광안리점,부산광역시 수영구 광안해변로278번길 42 101호
78e325e6,짱오락실 부산서면점,부산광역시 부산진구 중앙대로692번길 16 1층
505b385c,짱오락실 제주나인몰점,제주특별자치도 제주시 과원로 128
85b4b7b7,오늘또뽑기,서울특별시 광진구 능동로 286 1층
0f53a681,오늘또뽑기,서울특별시 중랑구 망우로 206
76f6f4b4,오늘또뽑기,서울특별시 중랑구 면목로 318
9378e1d1,찌꼬뽀꼬,인천광역시 동구 화수로 70
a32cf6db,찌꼬뽀꼬 연남점,서울특별시 마포구 동교로 243 1층
4961a3ac,찌꼬뽀꼬 발산점,서울특별시 강서구 마곡동로4길 15 호텔 엠팰리체건물 1층 114호
51b4ec23,찌꼬뽀꼬 신림점,서울특별시 관악구 신림동길 19 1층
448dbce3,찌꼬뽀꼬 화정점,경기도 고양시 덕양구 화신로272번길 48 유퍼스트빌딩 1층 106호
03e74526,찌꼬뽀꼬 마곡나루점,서울특별시 강서구 마곡중앙로 161-11
639d7105,찌꼬뽀꼬 부천로데오점,경기도 부천시 원미구 부일로459번길 20 1층
c733121d,찌꼬뽀꼬 계양점,인천광역시 계양구 계산새로87번길 6 103호
0438a546,찌꼬뽀꼬 연남2호점,서울특별시 마포구 동교로 242 1층 
efef7e91,찌꼬뽀꼬 목동점,서울특별시 양천구 오목로 345 제1층 115호
e911632b,찌꼬뽀꼬 마곡나루2호점,서울특별시 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 상가동 1층 140호
98a87ef9,찌꼬뽀꼬 발산2호점,서울특별시 강서구 강서로 385 우성에스비타워 1층 120호
505770b0,찌꼬뽀꼬 시흥점,경기도 시흥시 중심상가3길 10 107호
707f71d0,찌꼬뽀꼬 공주점,충청남도 공주시 번영2로 69 
430bce7a,지이월드,부산광역시 남구 문현로66번길 131 1층
43a3732f,캑티 가챠샵 종각점,서울특별시 종로구 종로12길 9 
37f93f3e,캑티 가챠샵 홍대점,서울특별시 마포구 어울마당로 62
f7c040c5,캑티 가챠샵 수유점,서울특별시 강북구 한천로139길 42
e63e452b,캑티 가챠샵 건대점,서울특별시 광진구 아차산로 219 1층
cf99bb3f,캑티 가챠샵 천호점,서울특별시 강동구 천호대로157길 11 
f303fb0a,캑티 가챠샵 잠실새내점,서울특별시 송파구 백제고분로7길 24 1층
eb923ca5,캑티 가챠샵 은계점,경기도 시흥시 은계번영길 11
ceafe17e,캑티 가챠샵 화정점,경기도 고양시 덕양구 화신로272번길 58 1층 
baa63deb,캑티 가챠샵 미사점,경기도 하남시 미사강변동로 95 
09130fa9,캑티 가챠샵 서현점,경기도 성남시 분당구 서현로210번길 17
d0405b8f,캑티가챠샵 배곧점,경기도 시흥시 서울대학로278번길 26
15891c36,탑TOP 인형뽑기 서촌점,서울특별시 종로구 자하문로1길 21 1층
ba77fe3d,탑TOP 인형뽑기 삼양역점,서울특별시 강북구 솔매로 75
a048f824,TOP인형뽑기 본점,서울특별시 성북구 동소문로20나길 22
c04c1280,TOP인형뽑기,서울특별시 강북구 삼양로27길 43 위브 테라스 파크
8298431a,탑인형뽑기 부평점,인천광역시 부평구 부평대로12번길 10
d2bb7587,탑인형뽑기 수원역점,경기도 수원시 팔달구 향교로 57
625a61aa,TOP뽑기,대구광역시 달서구 야외음악당로39길 72
46fb907e,TOP인형뽑기 송탄점,경기도 평택시 관광특구로 37 1층
6d236561,탑인형뽑기,울산광역시 동구 봉수로 329
33d3d8a5,봉봉스테이션,인천광역시 서구 가정동 618-6
8cb6f877,봉봉스테이션,경기도 광명시 철산동 411
036ae457,봉봉스테이션,인천광역시 미추홀구 주안동 141-5
2b3c9409,봉봉스테이션,서울특별시 성북구 동소문로22길 19
d0b1e2ed,봉봉스테이션,경기도 용인시 처인구 명지로60번길 8-4
e71aa6da,봉봉스테이션,서울특별시 노원구 노해로81길 16 
28a353b6,봉봉스테이션,경기도 김포시 김포한강9로 95
f01fa4e0,봉봉스테이션 신촌점,서울특별시 서대문구 연세로 6
290076e9,봉봉스테이션,충청북도 청주시 상당구 중고개로141번길 11-6
3838d4a1,봉봉스테이션,울산광역시 남구 삼산로277번길 8
6198b713,봉봉스테이션,충청북도 청주시 청원구 상당로 239
d560e715,봉봉스테이션,부산광역시 중구 광복로 44
4c430cff,봉봉스테이션,대구광역시 수성구 수성못길 12
b1ec7701,봉봉스테이션,경상북도 구미시 옥계북로 22
9ed4a66b,봉봉스테이션,울산광역시 남구 왕생로40번길 31
f286fba9,봉봉스테이션,부산광역시 남구 용소로13번길 17
52c65915,봉봉스테이션 인천삼산점,인천광역시 부평구 체육관로 32
bb3200e7,봉봉스테이션 영종도점,인천광역시 중구 하늘달빛로 90-7
7b74cc06,봉봉스테이션 동탄솔밭나루점,경기도 화성시 동탄솔빛로 52
8723e31e,봉봉스테이션 증산점,경상남도 양산시 물금읍 야리로 110 
821ba950,봉봉스테이션 연산점,부산광역시 연제구 고분로13번길 25 
18c3d4e2,봉봉스테이션 화명점,부산광역시 북구 화명신도시로 129
aaa34bf1,봉봉스테이션 익산영등점,전북특별자치도 익산시 하나로11길 31-1
a72ddcb3,봉봉스테이션 연산점,부산광역시 연제구 고분로13번길 25
3aa24e67,봉봉스테이션 전주객사점,전북특별자치도 전주시 완산구 전주객사5길 27
cc42e680,봉봉스테이션 대구대곡점,대구광역시 달서구 도원로 24
bbdfe7eb,봉봉스테이션솔빛나루점,경기도 화성시 동탄솔빛로 52
2fdfd74b,봉봉스테이션 양산점,경상남도 양산시 양산역1길 18 
4f4d27ef,봉봉스테이션 사직점,부산광역시 동래구 사직북로 4
85c109ea,봉봉스테이션 하양점,경상북도 경산시 하양읍 하양로 57
8d2581bf,잇템오락실,서울특별시 서대문구 연세로 10
cc4d5030,뽑아핑,서울특별시 종로구 돈화문로 45
e8be0bee,뽑아핑 약수점,서울특별시 중구 동호로 196 
f7857f4a,뽑아핑 이태원점,서울특별시 용산구 이태원로20길 7
8f141755,뽑아핑 한양대점,서울특별시 성동구 마조로 17
da99134b,뽑아핑 외대점,서울특별시 동대문구 휘경로 5
085c1f7d,뽑아핑 파주야당점,경기도 파주시 야당동 1054
8885b4fa,뽑아핑 서귀포점,제주특별자치도 서귀포시 서귀동 296-8
2a273261,피규어인형뽑기,서울특별시 중랑구 봉우재로33길 41
4a0f53b1,뽑기왕 원마운트점,경기도 고양시 일산서구 한류월드로 300 
996a4d78,캑티 가챠샵 종각점,서울특별시 종로구 종로12길 9 
f5b97a5f,스미스인형뽑기,인천광역시 남동구 문화로 85 1층 
d7e140fb,못된강아지인형뽑기,인천광역시 부평구 마장로 437
bb37b62f,달콤뽑기,서울특별시 강서구 가로공원로76길 107 
6084c1bb,맨하탄뽑기,경기도 남양주시 다산중앙로123번길 7-34 한강타워 
ba772722,김포뽑기,경기도 김포시 김포한강9로75번길 22 
77249f44,뽑기데이트 동탄역점,경기도 화성시 동탄역로 102
bb6541dd,지지코믹마켓,경기도 의정부시 호국로1298번길 56 
88ab717a,주안가챠샵,인천광역시 미추홀구 주안로 86
f50de3e5,갓챠겟챠 송리단길점,서울특별시 송파구 백제고분로45길 17 1층 
4e01e018,갓챠겟챠 성남복정점,경기도 성남시 수정구 복정로 66
ead3e021,오 뽑기 율량점,충청북도 청주시 청원구 1순환로 140
61f44557,뽑기치트,경상남도 양산시 양주4길 15-1 1층
1d43ca99,대박뽑기 2호점,경상북도 김천시 혁신1로 81 
e91f1e7d,뽑기flex,전북특별자치도 완주군 이서면 기지로 50
6e8f68ad,뽑기야놀자 구미비산점,경상북도 구미시 비산로5길 15
8fd003d7,오 뽑기 용암점,충청북도 청주시 상당구 월평로184번길 150 
d8d1bfa2,캑티 가챠샵 홍대점,서울특별시 마포구 어울마당로 62
b21df1c4,뽀꼬팡,서울특별시 동대문구 답십리로1길 10 102동
f8b1a032,캑티 가챠샵 수유점,서울특별시 강북구 한천로139길 42
f670472c,퍼니랜드 영등포점,서울특별시 영등포구 영신로19길 10
98c2a8de,캑티 가챠샵 건대점,서울특별시 광진구 아차산로 219 
974d372b,캑티 가챠샵 천호점,서울특별시 강동구 천호대로157길 11 
d793c3b4,인형뽀끼,경상남도 사천시 벌리로 56
8b9df818,캑티 가챠샵 잠실새내점,서울특별시 송파구 백제고분로7길 24 1층
cce1babf,뽑get몬,경기도 남양주시 덕송2로6번길 28-21
10ffc894,캑티 가챠샵 은계점,경기도 시흥시 은행동 646-5
b76d0ed3,캑티 가챠샵 화정점,경기도 고양시 덕양구 화신로272번길 58 
aeee0463,우와 뽑기방,"인천광역시 연수구 벚꽃로 114 1층 111호(연수동, 브랫슬)"
19745736,캑티 가챠샵 미사점,경기도 하남시 미사강변동로 95
3b2d2628,캑티 가챠샵 서현점,경기도 성남시 분당구 서현로210번길 17 
7e678808,드림월드 중동점,경기도 부천시 원미구 소향로 248 
1a798e65,소풍뽑챠,인천광역시 남동구 소래역로18번길 15
a7da6fca,뽑아가브러,광주광역시 광산구 임방울대로826번길 19-25 스타빌 1층 상가
2c709b29,뽑스,강원특별자치도 원주시 능라동길 72 1층 109호
92ca85bf,으라차챠 한옥마을점,전북특별자치도 전주시 완산구 태조로 18
75fb53dc,가챠샵 포항점,경상북도 포항시 북구 중앙상가길 28-2
ed6e4332,뽀바뽀바뽑기방,전북특별자치도 군산시 대명동 403
244f6898,으라차챠 충장로점,광주광역시 동구 중앙로160번길 15-2
0a59ed9d,캐칭덕 화명점,부산광역시 북구 화명신도시로 130 104호
55187ff4,동네오락실 뽑기방 내포점,충청남도 홍성군 홍북읍 청사로174번길 9 
168ac86a,탱크오락실,충청북도 청주시 상당구 중고개로141번길 13-16
e816ea6d,지구오락실,서울 서대문구 가재울미래로 2 DMC파크뷰자이2단지221동
